"IPAddress","Port","User","BindType"
"172.17.91.1","59790","IHLE\compdata","Simple"
"172.17.91.1","59789","IHLE\compdata","Simple"
"172.17.91.1","59783","IHLE\compdata","Simple"
"172.17.91.1","59782","IHLE\compdata","Simple"
"172.17.91.1","59781","IHLE\compdata","Simple"
"172.17.91.1","59780","IHLE\compdata","Simple"
"172.17.91.1","59779","IHLE\compdata","Simple"
"172.17.91.1","59745","IHLE\compdata","Simple"
"172.17.91.1","59744","IHLE\compdata","Simple"
"172.17.91.1","59743","IHLE\compdata","Simple"
"172.17.91.1","59742","IHLE\compdata","Simple"
"172.17.91.1","59741","IHLE\compdata","Simple"
"172.17.91.1","59676","IHLE\compdata","Simple"
"172.17.91.1","59675","IHLE\compdata","Simple"
"172.17.91.1","59674","IHLE\compdata","Simple"
"172.17.91.1","59673","IHLE\compdata","Simple"
"172.17.91.1","59672","IHLE\compdata","Simple"
"172.17.91.1","59627","IHLE\compdata","Simple"
"172.17.91.1","59625","IHLE\compdata","Simple"
"172.17.91.1","59624","IHLE\compdata","Simple"
"172.17.91.1","59623","IHLE\compdata","Simple"
"172.17.91.1","59622","IHLE\compdata","Simple"
"172.17.91.1","59541","IHLE\compdata","Simple"
"172.17.91.1","59540","IHLE\compdata","Simple"
"172.17.91.1","59539","IHLE\compdata","Simple"
"172.17.91.1","59538","IHLE\compdata","Simple"
"172.17.91.1","59537","IHLE\compdata","Simple"
"172.17.91.1","59507","IHLE\compdata","Simple"
"172.17.91.1","59506","IHLE\compdata","Simple"
"172.17.91.1","59505","IHLE\compdata","Simple"
"172.17.91.1","59504","IHLE\compdata","Simple"
"172.17.91.1","59503","IHLE\compdata","Simple"
"172.17.91.1","59495","IHLE\compdata","Simple"
"172.17.91.1","59494","IHLE\compdata","Simple"
"172.17.91.1","59493","IHLE\compdata","Simple"
"172.17.91.1","59492","IHLE\compdata","Simple"
"172.17.91.1","59491","IHLE\compdata","Simple"
"172.17.91.1","59480","IHLE\compdata","Simple"
"172.17.91.1","59479","IHLE\compdata","Simple"
"172.17.91.1","59478","IHLE\compdata","Simple"
"172.17.91.1","59477","IHLE\compdata","Simple"
"172.17.91.1","59475","IHLE\compdata","Simple"
"172.17.91.1","59452","IHLE\compdata","Simple"
"172.17.91.1","59451","IHLE\compdata","Simple"
"172.17.91.1","59450","IHLE\compdata","Simple"
"172.17.91.1","59449","IHLE\compdata","Simple"
"172.17.91.1","59448","IHLE\compdata","Simple"
"172.17.91.1","59440","IHLE\compdata","Simple"
"172.17.91.1","59439","IHLE\compdata","Simple"
"172.17.91.1","59438","IHLE\compdata","Simple"
"172.17.91.1","59437","IHLE\compdata","Simple"
"172.17.91.1","59436","IHLE\compdata","Simple"
"172.17.91.1","59400","IHLE\compdata","Simple"
"172.17.91.1","59399","IHLE\compdata","Simple"
"172.17.91.1","59398","IHLE\compdata","Simple"
"172.17.91.1","59397","IHLE\compdata","Simple"
"172.17.91.1","59396","IHLE\compdata","Simple"
"172.17.91.1","59317","IHLE\compdata","Simple"
"172.17.91.1","59316","IHLE\compdata","Simple"
"172.17.91.1","59315","IHLE\compdata","Simple"
"172.17.91.1","59314","IHLE\compdata","Simple"
"172.17.91.1","59313","IHLE\compdata","Simple"
"172.17.91.1","59308","IHLE\compdata","Simple"
"172.17.91.1","59307","IHLE\compdata","Simple"
"172.17.91.1","59306","IHLE\compdata","Simple"
"172.17.91.1","59305","IHLE\compdata","Simple"
"172.17.91.1","59302","IHLE\compdata","Simple"
"172.17.91.1","59272","IHLE\compdata","Simple"
"172.17.91.1","59271","IHLE\compdata","Simple"
"172.17.91.1","59269","IHLE\compdata","Simple"
"172.17.91.1","59268","IHLE\compdata","Simple"
"172.17.91.1","59267","IHLE\compdata","Simple"
"172.17.91.1","59266","IHLE\compdata","Simple"
"172.17.91.1","59264","IHLE\compdata","Simple"
"172.17.91.1","59263","IHLE\compdata","Simple"
"172.17.91.1","59261","IHLE\compdata","Simple"
"172.17.91.1","59259","IHLE\compdata","Simple"
"172.17.91.1","59124","IHLE\compdata","Simple"
"172.17.91.1","59123","IHLE\compdata","Simple"
"172.17.91.1","59122","IHLE\compdata","Simple"
"172.17.91.1","59121","IHLE\compdata","Simple"
"172.17.91.1","59120","IHLE\compdata","Simple"
"172.17.91.1","59113","IHLE\compdata","Simple"
"172.17.91.1","59112","IHLE\compdata","Simple"
"172.17.91.1","59111","IHLE\compdata","Simple"
"172.17.91.1","59110","IHLE\compdata","Simple"
"172.17.91.1","59109","IHLE\compdata","Simple"
"172.17.91.1","59083","IHLE\compdata","Simple"
"172.17.91.1","59081","IHLE\compdata","Simple"
"172.17.91.1","59080","IHLE\compdata","Simple"
"172.17.91.1","59079","IHLE\compdata","Simple"
"172.17.91.1","59078","IHLE\compdata","Simple"
"172.17.91.1","59071","IHLE\compdata","Simple"
"172.17.91.1","59069","IHLE\compdata","Simple"
"172.17.91.1","59068","IHLE\compdata","Simple"
"172.17.91.1","59067","IHLE\compdata","Simple"
"172.17.91.1","59066","IHLE\compdata","Simple"
"172.17.91.1","59008","IHLE\compdata","Simple"
"172.17.91.1","59007","IHLE\compdata","Simple"
"172.17.91.1","59006","IHLE\compdata","Simple"
"172.17.91.1","59005","IHLE\compdata","Simple"
"172.17.91.1","59004","IHLE\compdata","Simple"
"172.17.91.1","58995","IHLE\compdata","Simple"
"172.17.91.1","58994","IHLE\compdata","Simple"
"172.17.91.1","58993","IHLE\compdata","Simple"
"172.17.91.1","58992","IHLE\compdata","Simple"
"172.17.91.1","58991","IHLE\compdata","Simple"
"172.17.91.1","58970","IHLE\compdata","Simple"
"172.17.91.1","58969","IHLE\compdata","Simple"
"172.17.91.1","58968","IHLE\compdata","Simple"
"172.17.91.1","58967","IHLE\compdata","Simple"
"172.17.91.1","58966","IHLE\compdata","Simple"
"172.17.91.1","58891","IHLE\compdata","Simple"
"172.17.91.1","58889","IHLE\compdata","Simple"
"172.17.91.1","58888","IHLE\compdata","Simple"
"172.17.91.1","58887","IHLE\compdata","Simple"
"172.17.91.1","58886","IHLE\compdata","Simple"
"172.17.91.1","58821","IHLE\compdata","Simple"
"172.17.91.1","58820","IHLE\compdata","Simple"
"172.17.91.1","58819","IHLE\compdata","Simple"
"172.17.91.1","58818","IHLE\compdata","Simple"
